id,name,minutes,tags,n_steps,steps,ingredients,n_ingredients,user_id,rating,review,rating_category,calories,total fat (PDV),sugar (PDV),sodium (PDV),protein (PDV),saturated fat (PDV),carbohydrates (PDV),calorie_status,price
40391,butter pecan cake,85,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'desserts', 'lunch', 'snacks', 'eggs-dairy', 'fruit', 'american', 'southern-united-states', 'oven', 'potluck', 'dinner-party', 'fall', 'holiday-event', 'cakes', 'nuts', 'dietary', 'thanksgiving', 'seasonal', 'to-go', 'equipment', '4-hours-or-less']",18,"['pour melted butter into a baking pan', 'stir in pecans', 'toast at 350 degrees for 1 0 minutes', 'set aside', 'in a large mixing bowl , cream butter and sugar until fluffy', 'add eggs , one at a time , beating well after each', 'mix together flour , baking powder , and salt', 'add to creamed mixture alternately with milk , beginning and ending with dry ingredients', 'stir in vanilla and 1 cup toasted pecans', 'pour batter into 2 greased and floured 8-inch round cake pans', 'bake at 350 degrees for 30-35 minutes or until test done', 'cool in pan for 5 minutes', 'remove cakes from pans and continue cooling on wire racks', 'for frosting , cream butter and sugar together', 'add milk and vanilla , beating with electric mixer until light and fluffy', 'add additional milk if needed', 'stir in remaining pecans', 'spread frosting between the layers and over the top and sides of the cake']","['butter', 'pecans', 'sugar', 'eggs', 'all-purpose flour', 'baking powder', 'salt', 'milk', 'vanilla extract', 'powdered sugar']",10,2001265556,0,I'm going to try this one ! I will let you know how it comes out !!,bad,635.5,48,250,11,12,69,28,High Calory,11
40621,fish cakes fast and simple,40,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'for-1-or-2', 'lunch', 'main-dish', 'potatoes', 'seafood', 'vegetables', 'easy', 'fish', 'stove-top', 'dietary', 'meat', 'equipment', 'number-of-servings']",9,"['peel and cut up potatoes', 'place in pot with fillets and cover with cold water', 'boil until the potatoes are""fork done""', 'drain off the water', 'mash the potatoes and fish together', 'mix chopped onion , eggs , and 1 tablespoon water', 'add this to the fish and potatoes and mix well', 'form the mixture into hamburger size patties', 'season with salt and pepper and fry in well greased skillet until golden brown on both sides']","['boneless fish fillet', 'potatoes', 'onions', 'eggs', 'water', 'salt and pepper']",6,35965,5,"I made these tonight for dinner.  They were really fast and simple as the title says.  DH wasn't home and I wasn't sure when he would get home, so I did everything except fry the patties before hand.  Then when he arrived, I went ahead and fried the patties.  The next time I make these I will leave the water out as that made them to loose to form into patties.  I had to spoon them into the skillet and then kind of pat and spread them out.  They tasted great and the fish and potatoes did not over-power each other.  Thank you for sharing this recipe Chuck!!!",tasty,787.8,8,32,5,50,9,54,High Calory,30
40772,puffy oven pancake or  hootin  annies,23,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'pancakes-and-waffles', 'breads', 'breakfast', 'eggs-dairy', 'german', 'oven', 'european', 'holiday-event', 'kid-friendly', 'eggs', 'dietary', 'equipment', 'number-of-servings']",9,"['heat oven to 450 degrees f', 'in blender or bowl , blend together eggs , milk , flour , and salt', 'melt butter in 9x13 pan in oven', 'remove pan from oven', 'pour in batter', 'return to oven and bake for 18 minutes', 'pancake should be very high and puffy', 'remove from oven and cut into 6 large squares', 'serve immediately']","['eggs', 'milk', 'flour', 'salt', 'butter']",5,659676,5,Beautiful texture - pleased the whole family.  I will double next time for family of 5.  Delicious with powdered sugar or maple syrup.  Similar flavor to French Toast.  Thanks for posting!,tasty,275.2,27,1,12,19,49,6,Low Calory,32
40993,starter for friendship fruitcake,43200,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'low-protein', 'healthy', '5-ingredients-or-less', 'breads', 'fruit', '1-day-or-more', 'easy', 'no-cook', 'holiday-event', 'low-fat', 'dietary', 'gifts', 'christmas', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'oamc-freezer-make-ahead', 'inexpensive', 'yeast', 'quick-breads', 'low-in-something', 'number-of-servings', 'technique']",29,"['in a 1-gallon glass jar with a wide mouth and lid , combine the peaches , pineapple , maraschino cherries , sugar and yeast', 'stir mixture two times the first day', 'stir once a day afterward', 'do not refrigerate this mixture', 'keep loosely covered', 'two weeks after starting the starter , add 1 / 2 cup peaches and 1 / 2 cup pineapple with syrup', 'wait for several days , stirring daily , and drain 2 cups of mixed fruit and use to make cake as directed in the cake recipe', 'reserve 1 1 / 2 cups starter juice and leave in glass gallon jar', 'count this as day one , and start the process for renewing the starter and making the cake', 'day 1: to reserved 1 1 / 2 cups starter juice , add 2 1 / 2 cups sugar and a 2-lb can of peaches with syrup', 'stir daily', 'keep loosely covered', 'do not refrigerate', 'day 10: add 2 1 / 2 cups granulated sugar , a 2 pound can pineapple chunks with juice', 'stir daily', 'keep loosely covered', 'do not refrigerate', 'day 20: add 2 1 / 2 cups granulated sugar and 8 to 10 oz drained and halved maraschino cherries', 'stir daily', 'keep loosely covered', 'do not refrigerate', 'day 30: drain fruit , reserving 1 1 / 2 cups juice for renewing starter', 'use drained fruit to make 3 cakes , give excess starter juice to friends , and start a new batch of fruit', 'at the end of 30 days , you will have enough excess starter juice to give to about four friends', 'be sure to keep enough juice for your own starter', ""at the end of 30 days , there will be enough fruit to use 1 3 / 4 cups fruit in each cake , which makes the cake better and doesn't waste the fruit"", 'the cakes can be frozen', 'it is not necessary to bake all three cakes the same day , but stir the remaining fruit mixture every day until it is used', 'the drained fruit can be frozen until you are ready to bake the cakes']","['peach slices in heavy syrup', 'pineapple chunks in syrup', 'red maraschino cherries', 'granulated sugar', 'active dry yeast']",5,22973,5,"leeannr,
   Thanks again,I am so glad to get this recipe,You have to have the starter recipe or have a start sent to you by a friend,to make this recipe for the friendship cake.and I have lost both starter recipe,and cake recipe.So I was in Heaven when I saw this recipe and the cake recipe.THANKS
        Darlene",tasty,319.1,0,317,0,1,0,27,Low Calory,19
41156,strawberry shortcake a la treebeard s,80,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'low-protein', 'desserts', 'fruit', 'oven', 'cakes', 'food-processor-blender', 'dietary', 'low-in-something', 'berries', 'strawberries', 'equipment', 'small-appliance', '4-hours-or-less']",22,"['preheat oven to 450 degrees', 'grease a cookie sheet', 'to make shortcake , with knife blade attachment on food processor , process flour , baking powder , salt , brown sugar , butter and 2 teaspoons granulated sugar until mixture resembles coarse meal', 'pour mixture into medium bowl', 'with wooden spoon of paddle attachment on electric mixer , add milk and mix just until it forms a smooth dough', 'scoop dough onto cookie sheet in 6 equal mounds', 'dust top of shortcakes with remaining 2 teaspoons granulated sugar', 'bake 15 to 20 minutes or until golden brown', 'remove from oven', 'transfer to wire rack and cool', 'to make filling , in a medium bowl , mash one-half of berries', 'mix with granulated sugar and vanilla', 'refrigerate 1 hour', ""to make whipped cream , in a chilled mixing bowl , beat cream with confectioners' sugar , granulated sugar and vanilla until it just holds soft peaks"", 'add sour cream', 'beat until stiff peaks form', 'cut off tops of shortcakes', 'set aside', 'spoon filling onto bottom of each shortcake', 'cover with whipped cream and remaining sliced strawberries', 'replace tops', 'garnish with a dollop of whipped cream , a strawberry half and a sprig of mint']","['all-purpose flour', 'baking powder', 'salt', 'brown sugar', 'butter', 'granulated sugar', 'milk', 'strawberry', 'vanilla extract', 'heavy whipping cream', ""confectioners' sugar"", 'vanilla', 'sour cream']",13,8688,5,"PanNan, this recipe was so much fun to make!  Your directions were simple to follow and I had excellent results! From the shortcake to the whipped cream, every bite was a taste treat! This shortacke has a nice sweetness to it that other shortcakes seem to miss.  The strawberry filling w/ the added vanilla extract was sensational!  The whipping cream with the added, not only confectioner's sugar, but also sour cream  was incredible!  This is a dessert that would definitely be considered ""Company Worthy"" in my book!  Thank you so much PanNan, for bringing this wonderful recipe to Zaar!",tasty,661.2,51,190,23,14,103,28,High Calory,10
41260,apple cupcakes,78,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-large-groups', 'low-protein', 'cupcakes', 'desserts', 'fruit', 'oven', 'easy', 'fall', 'kid-friendly', 'cakes', 'dietary', 'gifts', 'seasonal', 'low-in-something', 'apples', 'equipment', 'number-of-servings', '4-hours-or-less']",7,"['preheat oven to 350 degrees fahrenheit', 'line muffin tins with cupcake papers', 'put the grated apples , sugar , water , butter , cinnamon , nutmeg and cloves into a large saucepan and bring to a boil', 'cool', 'add flour and soda', 'fill paper lined cupcake tins 2 / 3 full', 'bake until cupcakes spring back when touched in the center']","['apples', 'sugar', 'water', 'butter', 'cinnamon', 'nutmeg', 'ground cloves', 'flour', 'baking soda']",9,27316,5,"dayla, these are to die for!  I frosted part of them with caramel frosting and called them cupcakes and left part of them plain and called them muffins.  Such a versatile recipe and so easy to make.  I did add some vanilla and chopped nuts because it just seemed to call for it.  I am sure this will become one of my husband's hunting favorites too as they stay so moist for so long.  Many thanks!!",tasty,205.8,12,71,7,4,24,10,Low Calory,19
41291,blueberry yogurt pancakes,27,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'pancakes-and-waffles', 'breakfast', 'eggs-dairy', 'fruit', 'american', 'easy', 'kid-friendly', 'eggs', 'stove-top', 'dietary', 'comfort-food', 'berries', 'blueberries', 'taste-mood', 'equipment', 'number-of-servings']",6,"['beat eggs in medium bowl with hand beater until fluffy', 'beat in remaining ingredients just until blended', 'grease heated griddle if necessary', 'for each pancake , pour about 3 tbs batter from', 'cook pancakes until puffed and dry around edges', 'turn and cook other sides until golden brown']","['eggs', 'all-purpose flour', 'blueberry yogurt', 'vegetable oil', 'sugar', 'baking powder', 'baking soda', 'salt']",8,82367,5,"Good pancakes!My little girl is always asking for pancakes for breakfast, so I am usually on the lookout for different and healthy recipes for them. These appealed to me because of the use of the yogurt, not only healthy but it will give you different tastes/variety by trying different kinds of yougurt. I am going to try a mixed berry yogurt next. Thanks, Tish.",tasty,119.9,6,27,8,6,3,5,Low Calory,27
41292,old fashioned spice cake,48,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'breads', 'desserts', 'american', 'southern-united-states', 'oven', 'easy', 'kid-friendly', 'cakes', 'grains', 'dietary', 'spicy', 'comfort-food', 'inexpensive', 'pasta-rice-and-grains', 'taste-mood', 'equipment']",7,"['cream sugar and butter', 'add eggs , beat for 1 minute', 'mix dry ingredients', 'add to creamed mixture alternately with buttermilk', 'beat for 1 minute', 'pour into greased and floured 9x13 pan', 'bake at 350 for 40 minutes']","['sugar', 'butter', 'eggs', 'flour', 'baking powder', 'baking soda', 'cinnamon', 'ground cloves', 'nutmeg', 'buttermilk']",10,39636,5,"Another classic cake recipe from Inez.  It is easy to make and just yummy to eat.  I made this cake on real butter and not margarine.  It is so worth it.  The balance of spice ingredients is perfect.  As I ate this cake, it kept minding me of cinnamon roll.   I iced this cake with Inez's Yummy  Caramel Frosting # 21896.  MMMM  heaven!!
",tasty,412.7,26,137,13,12,52,19,Low Calory,16
41407,fudge truffle cheesecake,115,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'desserts', 'oven', 'refrigerator', 'dinner-party', 'holiday-event', 'romantic', 'chocolate', 'cheesecake', 'comfort-food', 'wedding', 'valentines-day', 'taste-mood', 'equipment', '4-hours-or-less']",17,"['mix in a bowl , all the crust ingredients', 'press mixture into the bottom and 2 inches up the sides of a 9-inch springform pan', 'chill', 'in a big bowl , beat cream cheese until fluffy', 'gradually add milk', 'beat until smooth', 'add melted chocolate chips , eggs , and vanilla', 'stir until well blended', 'pour into crust', 'place cheesecake / pan in a large rectangular baking pan filled with 2 inches hot water', 'place in a 300 degree oven and bake for 1 hour and 15 minutes or until center is almost set', 'remove cheesecake from oven and water-filled pan and cool on a wire rack for 15 minutes', 'carefully run a knife around edge of pan to loosen', 'cool at room temperature for 3 hours', 'chill overnight', 'just before serving , remove sides of pan', 'garnish with whipped cream and chocolate chips']","['vanilla wafer crumbs', 'powdered sugar', 'cocoa', 'butter', 'cream cheese', 'sweetened condensed milk', 'semi-sweet chocolate chips', 'eggs', 'vanilla extract', 'whipped cream', 'chocolate chips']",11,55013,5,"Sinful is just the tip of the iceberg!  This was very moist, dense, creamy, rich  and chocolate, chocolate, chocolate. I cut it into 16 pieces, and then cut down from there too because it is THAT rich.  I did use graham cracker crumbs in place of vanilla wafer crumbs (I was out of those) and it came out beautifully.  This dessert if for those who like rich, decadent, and chocolate!.  Thanks NurseDi ",tasty,668.5,66,160,15,21,114,21,High Calory,32
41494,flannel cakes   best pancakes ever,15,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'healthy', 'pancakes-and-waffles', 'breakfast', 'eggs-dairy', 'easy', 'eggs', 'stove-top', 'dietary', 'equipment']",6,"['sift flour , salt and baking powder together', 'beat egg yolks and add milk and shortening', 'beat in flour with a rotary beater', 'fold in stiffly beaten egg whites', 'bake on hot griddle , turning to brown both sides', 'makes 24']","['flour', 'salt', 'baking powder', 'eggs', 'milk', 'shortening']",6,628127,5,good pancakes.  Used butter instead of shortening,tasty,371.4,16,1,39,27,22,18,Low Calory,16
41526,chocolate lover s cheesecake,50,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'desserts', 'eggs-dairy', 'american', 'oven', 'easy', 'dinner-party', 'holiday-event', 'kid-friendly', 'cheesecake', 'dietary', 'comfort-food', 'californian', 'valentines-day', 'taste-mood', 'equipment']",14,"['heat oven to 450', 'beat cream cheese and sugar in lg bowl until well blended', 'add eggs and vanilla', 'beat well', 'stir in 1-2 / 3 cups chips', 'pour into crust', 'bake for 10 minutes , do not open door while baking', 'reduce temperature to 250 , bake another 30 minutes , or until set', 'cool completely', 'place in refrigerator', 'mix remaining chocolate chips and cream in small microwave bowl', 'microwave on high 20-30 seconds , until melted and smooth', 'spread over top of cheesecake', 'chill until topping is set']","['cream cheese', 'sugar', 'eggs', 'vanilla', 'mini chocolate chips', 'chocolate cookie pie crust', 'whipping cream']",7,54874,5,I looked forward to making this all week and I was definitely not disappointed. A mouth-watering result.,tasty,1012.8,111,260,26,32,197,28,High Calory,40
41617,southern lady cake,60,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'north-american', 'desserts', 'fruit', 'american', 'southern-united-states', 'oven', 'cakes', 'equipment', 'number-of-servings']",12,"['grease and flour a tube cake pan', 'combine the cake mix , sugar and flour in a large bowl', 'add the sour cream , the oil and orange extract', 'mix at low speed with a mixer', 'add the eggs , one at a time', 'increase the speed to medium and beat for 2 minutes', 'add in the mandarin oranges and mix until all ingredients are well combined', 'pour the batter into the prepared pan', 'bake at 350f for 45-50 minutes or until a knife inserted in the cake comes out clean', 'let the cake cool in the pan for 15 minutes', 'combine the orange juice and confectioners sugar well', 'drizzle over the cake']","['orange cake mix', 'sugar', 'all-purpose flour', 'sour cream', 'vegetable oil', 'orange extract', 'eggs', 'mandarin oranges', 'orange juice', ""confectioners' sugar""]",10,56112,5,"I work with Dreamgoddess and she gave me this recipe a couple of years ago.  It is my husbands all time favorite.  Just a hint though. It is best after it sits for a couple of days.  If you want to serve it on a Saturday, cook it on Thursday night.

One of the best things about this cake is that it is made with a cake mix and goes together in just a few minutes.  But don't tell anyone it is a mix, because they won't know if you don't tell!!!",tasty,5218.2,417,1812,161,113,303,218,High Calory,10
41657,crock pot hot fudge sundae cake,200,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'south-west-pacific', 'healthy', 'sauces', 'desserts', 'condiments-etc', 'australian', 'cakes', 'puddings-and-mousses', 'chocolate', 'crock-pot-slow-cooker', 'dietary', 'low-cholesterol', 'comfort-food', 'inexpensive', 'healthy-2', 'low-in-something', 'taste-mood', 'equipment', '4-hours-or-less']",14,"['spray inside of 2- 3 1 / 2 quart crock with cooking spray', 'mix flour , sugar , 2 tbs cocoa , baking powder and salt in medium bowl', 'stir in milk , oil and vanilla until smooth', 'stir in nuts', 'spread batter evenly in slow cooker', 'mix brown sugar and 1 / 4 cup cocoa in small bowl', 'stir in hot water until smooth', 'pour evenly over batter in crock', 'cover and cook on high 2- 2 1 / 2 hours or until toothpick inserted in center comes out clean', 'turn off crock', 'let cake stand uncovered 30- 40 minutes to cool slightly before serving', 'spoon warm cake into dessert dishes', 'spoon sauce over top', '6 servings']","['plain flour', 'sugar', 'cocoa', 'baking powder', 'salt', 'milk', 'vegetable oil', 'vanilla', 'nuts', 'brown sugar', 'baking cocoa', 'hot water', 'cooking spray']",13,22973,4,"Good cake!!!!
Thanks Chrissy,This cake is very good,not hard to make,and I am a chocoholic,so this is a very tasty addiction.But You Do need to let people know the SAUCE is on the bottom,i kept wandering if I had not read the recipe right,but when I ran my knife around the edges to loosen it ,I found the Sauce,It is Delicious too,I love anything that tastes like fudge.Thanks again,
Darlene Summers ",tasty,383.4,18,176,17,11,10,22,Low Calory,20
41670,sour cream and lemon pound cake,110,"['weeknight', 'time-to-make', 'course', 'preparation', 'desserts', 'oven', 'cakes', 'dietary', 'low-sodium', 'low-in-something', 'equipment', '4-hours-or-less']",17,"['preheat oven to 325 degrees f', 'grease 16-cup tube pan', 'dust with cake flour', 'tap out excess flour', 'sift flour , baking powder and salt into medium bowl', 'using electric mixer , beat butter in large bowl at medium speed until fluffy', 'gradually add sugar and beat 5 minutes', 'add eggs 1 at a time , beating just until combined after each addition', 'beat in lemon juice and peel', 'using rubber spatula , mix in dry ingredients', 'mix in sour cream', 'transfer batter to prepared pan', 'bake cake until tester inserted near center comes out clean , about 1 hour 30 minutes', 'let cake cool in pan on rack 15 minutes', 'cut around cake in pan', 'turn out cake', 'carefully turn cake right side up on rack and cool completely']","['cake flour', 'baking powder', 'salt', 'unsalted butter', 'sugar', 'eggs', 'fresh lemon juice', 'lemon rind', 'sour cream']",9,39636,5,"This is a terrific pound cake.  The flavour of the lemon and the sour cream really compliment each other.  It is easy and quick to make. It filled the house with a lovely lemon smell while it was cooking. We hopped into the cake as soon as we could.  Oh my gosh, the taste is heaven.  I was concerned about the amount of sugar in the recipe but I stuck to the recipe and sure was rewarded.  This is a MUST TRY  recipe.  Thank you Bev. :-)",tasty,527.3,33,203,6,13,63,25,High Calory,28
41721,german plum cake,65,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'breads', 'desserts', 'fruit', 'german', 'oven', 'european', 'heirloom-historical', 'holiday-event', 'vegetarian', 'cakes', 'dietary', 'comfort-food', 'taste-mood', 'equipment', 'number-of-servings', '4-hours-or-less']",9,"['in a large bowl , cream the butter , add the sugar , vanilla , egg , lemon peel , sour cream and salt', 'mix the flour and baking powder and add that into the mixture', 'grease the base of a round baking pan and spread the dough over the pan', 'liberally spread plums over the dough', 'to make the optional topping , cream the butter , add flour , sugar and cinnamon', 'sprinkle over the plums and bake for 30-45 minutes in the middle rack at 375 f', 'be careful not to let the bottom burn !', 'serve with lots of freshly-made whipped cream', 'if you like , you may also sprinkle rum or cinnamon over the fruit before baking']","['butter', 'sugar', 'vanilla', 'egg', 'sour cream', 'salt', 'lemon, rind of', 'flour', 'baking powder', 'plums', 'cinnamon']",11,67231,5,"FINALLY! I have made a fruit kuchen like dh's granny's! this is exactly the way his german grandma makes them. the recipe is very easy. the only change i made was adding an envelope of vanilla sugar to the struesel topping. i used prune plums, but i am sure you can use almost anything(apples,pears,peaches etc.) thank you for the recipe it is now a standard in this house!",tasty,3336.7,265,670,84,85,527,137,High Calory,9
41798,individual coffee cakes,30,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'breads', 'breakfast', 'oven', 'easy', 'dinner-party', 'finger-food', 'holiday-event', 'vegetarian', 'easter', 'coffee-cakes', 'grains', 'dietary', 'gifts', 'christmas', 'quick-breads', 'pasta-rice-and-grains', 'equipment', 'number-of-servings', 'presentation']",7,"['stir dry ingredients together', 'combine slightly beaten eggs and milk and add to dry ingredients', 'add melted shortening and stir until ingredients are well mixed', 'fill greased muffin tins 2 / 3 full of batter', 'combine topping ingredients and and sprinkle evenly over each cake', 'bake at 375 for 20-25 minutes', 'for the vegetarian option use vegetable shortening']","['sugar', 'cake flour', 'salt', 'baking powder', 'eggs', 'milk', 'lard', 'cinnamon', 'pecans']",9,206722,5,"These were easy to make and perfect for our family.....serving size portions always work best for us. Otherwise goodies just disappear!  I made 8 of these coffee cakes, but should have stretched it to another one or two, because they rose quite a bit and overran my muffin cups.  These were enjoyed by all!",tasty,264.6,20,70,5,8,18,10,Low Calory,41
41848,coffee house coffee cake,70,"['weeknight', 'time-to-make', 'course', 'cuisine', 'preparation', 'occasion', 'north-american', 'breads', 'breakfast', 'lunch', 'american', 'oven', 'potluck', 'kid-friendly', 'picnic', 'coffee-cakes', 'dietary', 'copycat', 'comfort-food', 'novelty', 'taste-mood', 'to-go', 'equipment', '4-hours-or-less']",14,"['preheat oven to 325', 'make topping by combining 1 cup flour with brown sugar , 1 / 2 cup softened butter and 1 teaspoon cinnamon in a bowl', 'mixture should have the consistency of moist sand', 'add 1 / 2 cup chopped pecans', 'in a large bowl , cream together 1 cup butter , 3 / 4 cup light brown sugar and 1 / 2 cup granulated sugar with an electric mixer until smooth and fluffy', 'add eggs and vanilla and mix well', 'in a separate bowl combine flour , baking powder and salt', 'add this dry mixture to the moist ingredients a little at a time', 'add milk and mix well', 'pour the batter into a 9 x 13 baking pan that has been buttered and dusted with a light coating of flour', 'sprinkle the crumb topping over the batter', 'be sure the topping completely covers the batter', 'bake 50 minutes or until the edges just begin to brown', 'cool']","['all-purpose flour', 'light brown sugar', 'butter', 'cinnamon', 'pecans', 'granulated sugar', 'eggs', 'vanilla', 'baking powder', 'salt', 'milk']",11,41503,4,"I have never had this or any other cake/pastry at Starbucks, so I can't really compare it, but it was a simple recipe for coffee cake. I would probably suggest starting w/less butter for the topping and gradually add more as needed for the correct consistency...mine came out a little too ""wet"" because I put it al in at once, then again, I also melted the butter, maybe that's what the problem was? The cake wasn't very thick either, maybe use a smaller pan next time so it's not so flat. But the taste was great, and I love the topping, kinda crunchy, I only had chopped walnuts.",tasty,521.2,42,159,12,10,76,21,High Calory,17
42038,syrup for blueberry pancakes,15,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'low-protein', 'healthy', '5-ingredients-or-less', 'sauces', 'breakfast', 'condiments-etc', 'fruit', 'american', 'easy', 'kid-friendly', 'low-fat', 'vegetarian', 'stove-top', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'comfort-food', 'inexpensive', 'sweet-sauces', 'low-in-something', 'berries', 'blueberries', 'taste-mood', 'equipment', 'number-of-servings', '3-steps-or-less']",3,"['place ingredients in a small saucepan and stir well', 'cook over medium heat , stirring to dissolve sugar , and pressing berries against the side of pan to crush slightly , until berries get slightly soft and mixture gets syrupy , 10-12 minutes', 'can serve warm or cool']","['fresh blueberries', 'sugar', 'water']",3,327989,4,"Very easy. Used 1/4 c almost of the blueberry juice that was in my frozen bag in place of water. Never did get super thick but was sweet enough.
Thanks for sharing. =)",tasty,376.6,0,366,0,1,0,32,Low Calory,34
42041,blueberry pancakes,25,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-1-or-2', 'healthy', 'pancakes-and-waffles', 'breakfast', 'fruit', 'american', 'easy', 'heirloom-historical', 'holiday-event', 'kid-friendly', 'vegetarian', 'grains', 'stove-top', 'dietary', 'comfort-food', 'northeastern-united-states', 'berries', 'blueberries', 'pasta-rice-and-grains', 'taste-mood', 'equipment', 'number-of-servings']",9,"['in a mixing bowl , sift together flour , sugar , salt , baking powder , and baking soda', 'in a separate small bowl , beat together eggs , buttermilk , and oil', 'stir egg mixture into flour mixture , mixing just until ingredients are moistened , and still slightly lumpy', 'fold in blueberries', 'heat a griddle or large skillet over medium heat and lightly coat with oil or shortening', 'add batter about 1 / 3 cup at a time , but do not crowd', 'cook until bubbles form , and edges are lightly browned , then turn and cook the other side until the bottom side is lightly brown', 'remove to a platter and keep warm till the rest of the pancakes are finished', 'serve with blueberry syrup and butter , if desired']","['flour', 'sugar', 'salt', 'baking powder', 'baking soda', 'eggs', 'buttermilk', 'oil', 'fresh blueberries', 'syrup']",10,9869,5,"Really yummy pancakes.
I had a happy hubby and son after we devoured these at breakfast this morning.
Sometimes pancakes can be 'heavy' but not these little babies, light and fluffy they were.
Followed recipe to a T (only got 10 pancakes) and served with Sues Syrup for Blueberry Pancakes recipe #42038.
Very good!",tasty,617.2,31,104,53,37,20,29,High Calory,10
42064,italian love cake  super easy,80,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-large-groups', 'desserts', 'eggs-dairy', 'oven', 'easy', 'refrigerator', 'beginner-cook', 'potluck', 'dinner-party', 'holiday-event', 'kid-friendly', 'picnic', 'romantic', 'vegetarian', 'cakes', 'easter', 'chocolate', 'cheese', 'dietary', 'christmas', 'hanukkah', 'new-years', 'comfort-food', 'wedding', 'valentines-day', 'taste-mood', 'to-go', 'equipment', 'number-of-servings', '4-hours-or-less']",9,"['preheat over to 350 degrees', 'prepare cake mix as directed on package with water , oil and eggs', 'pour batter into a greased and floured 9 x 13 inch pan', 'blend together ricotta , eggs , vanilla and sugar until smooth', 'pour evenly over chocolate batter', 'bake for 1 hour', 'cool cake completely , but leave in pan', 'blend together pudding and milk and then fold in cool whip', 'spread on top of cake and chill before serving']","[""devil's food cake mix"", 'water', 'vegetable oil', 'eggs', 'ricotta cheese', 'vanilla', 'sugar', 'instant chocolate pudding mix', 'milk', 'cool whip']",10,191208,5,Wonderful and easy!!! My boyfriend hates cake and he ate it all and asked me to bake another one .... Thanks!!!!,tasty,440.7,38,118,18,22,53,14,Low Calory,11
42069,neiman marcus butter cake,50,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'breads', 'desserts', 'eggs-dairy', 'oven', 'easy', 'potluck', 'dinner-party', 'finger-food', 'holiday-event', 'picnic', 'romantic', 'cakes', 'cheese', 'dietary', 'inexpensive', 'taste-mood', 'to-go', 'equipment', 'number-of-servings', 'presentation']",14,"['preheat oven to 350f', 'grease a 13 x 9 x 2-inch baking pan', 'pour cake mix into mixing bowl', 'mix in 1 slightly beaten egg and butter to a moist dough consistency', 'press mixture evenly in baking pan', 'using electric mixer , beat cream cheese , remaining eggs and vanilla together until creamy', 'beat in sugar gradually , until smooth', 'this takes several minutes', 'pour cream cheese mixture over dough in baking pan', 'bake 35 to 40 minutes', ""watch carefully so base doesn't get too brown"", 'the cheese mixture sinks into the center somewhat , leaving a firmer crust around the edges', 'cut into squares to serve', 'some cooks sprinkle powdered sugar or pecans over the top of the baked cake or garnish it with fresh strawberries']","['yellow cake mix', 'eggs', 'butter', 'cream cheese', 'vanilla extract', 'powdered sugar']",6,22015,5,"This must be another Texas vs Missouri thing, like BBQ because up here we call this South St Louis Deep Gooey Butter Cake - whatever name you give it doesn't really matter because this is an awesome cake.  It's been a favorite in my family for over 20 years.  Glad you posted it Miss Annie because people should REALLY try this one.",tasty,493.1,32,226,18,10,48,24,Low Calory,49
